net_id,std_nr
6215467,10000033
6216455,10000043
6277179,10000044
6277209,10000047
6277225,10000049
6216498,10000071
6318983,10000083
6238343,10000091
6319068,10000096
6330819,10000099
6319122,10000112
6277284,10000113
6277292,10000120
6277314,10000125
6065767,10000128
6050476,10000129
6216544,10000135
6340393,10000138
6081746,10000143
6216560,10000145
6277373,10000156
6035116,10000158
6277438,10000171
6031250,10000178
6087795,10000185
6064183,10000192
6330851,10000193
6319254,10000195
6277543,10000201
6277594,10000209
6277632,10000219
6216579,10000224
6319300,10000230
6277748,10000238
6277772,10000243
6277802,10000248
6277810,10000249
6319343,10000250
6277845,10000253
6310613,10000254
6277861,10000257
6310621,10000260
6277896,10000265
6251323,10000271
6319386,10000283
6340539,10000297
6319424,10000307
6319432,10000309
6340555,10000316
6278132,10000321
6238416,10000336
6328415,10000340
6340571,10000341
6319483,10000349
6310648,10000351
6278272,10000352
6225683,10000353
6319491,10000354
6278310,10000362
6340601,10000367
6044670,10000368
6319564,10000372
6319580,10000377
6278388,10000383
6075401,10000387
6319629,10000390
6278477,10000397
6319637,10000398
6319653,10000403
6032540,10000407
6278698,10000431
6319718,10000432
6278701,10000434
6328458,10000435
6074197,10000437
6033032,10000439
6319726,10000440
6330932,10000446
6278795,10000450
6330940,10000456
6319750,10000460
6340636,10000463
6340644,10000465
6278876,10000470
6278892,10000473
6319793,10000474
6278906,10000476
6319807,10000477
6278930,10000489
6319866,10000492
6340660,10000494
6319904,10000502
6340679,10000506
6319912,10000508
6238459,10000510
6319939,10000514
6279023,10000522
6319998,10000523
6340695,10000526
6185185,10000528
6216749,10000529
6320058,10000540
6084826,10000541
6251331,10000544
6320082,10000545
6320112,10000551
6320163,10000564
6320171,10000566
6320198,10000570
6279163,10000573
6279171,10000574
6279201,10000577
6320228,10000580
6320244,10000585
6340717,10000595
6279260,10000597
6320295,10000602
6035264,10000604
6125212,10000606
6320309,10000607
6273017,10000608
6320325,10000613
6283802,10000620
6225780,10000628
6058183,10000629
6338267,10000633
6279406,10000639
6320414,10000643
6279414,10000644
6279457,10000652
6320465,10000655
6320481,10000658
6320503,10000659
6320546,10000662
